Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2020;31.12.2021;31.12.2021;31.12.2022;31.12.2022;31.12.2023;31.12.2023;31.12.2024;31.12.2024
09175;Ebersberg, Landkreis;144091;e;144562;e;142205;e;143011;e;144225;e
09176;Eichstätt, Landkreis;133169;e;133634;e;134201;e;135220;e;135668;e
09177;Erding, Landkreis;138891;e;139622;e;138647;e;139547;e;140127;e
09178;Freising, Landkreis;180313;e;181144;e;181568;e;183535;e;184564;e
09179;Fürstenfeldbruck, Landkreis;218740;e;218579;e;215511;e;216912;e;218227;e
09180;Garmisch-Partenkirchen, Landkreis;88279;e;88232;e;89224;e;89322;e;89296;e
09181;Landsberg am Lech, Landkreis;121019;e;121466;e;119654;e;120966;e;122107;e
09182;Miesbach, Landkreis;100183;e;99978;e;96557;e;96730;e;97152;e
09183;Mühldorf am Inn, Landkreis;116483;e;117606;e;120317;e;121263;e;122037;e
09184;München, Landkreis;349685;e;349837;e;350047;e;352771;e;354396;e
09185;Neuburg-Schrobenhausen, Landkreis;97730;e;98503;e;97792;e;98967;e;99364;e
09186;Pfaffenhofen an der Ilm, Landkreis;129128;e;129772;e;128537;e;129497;e;130781;e
09187;Rosenheim, Landkreis;261721;e;263367;e;255306;e;256815;e;258637;e
09188;Starnberg, Landkreis;136610;e;136747;e;138488;e;138926;e;139329;e
09189;Traunstein, Landkreis;177485;e;178447;e;170984;e;172021;e;175144;e
09190;Weilheim-Schongau, Landkreis;136134;e;136642;e;136811;e;138052;e;138957;e
09261;Landshut, kreisfreie Stadt;73065;e;73150;e;68743;e;68741;e;71863;e
09262;Passau, kreisfreie Stadt;52415;e;53093;e;52361;e;52894;e;53039;e
09263;Straubing, kreisfreie Stadt;47612;e;47854;e;46953;e;47524;e;49002;e
09271;Deggendorf, Landkreis;119479;e;120521;e;120091;e;121137;e;121844;e
09272;Freyung-Grafenau, Landkreis;78355;e;78632;e;78155;e;78512;e;78710;e
09273;Kelheim, Landkreis;123390;e;123899;e;124673;e;125597;e;126037;e
09274;Landshut, Landkreis;161191;e;162331;e;160256;e;161180;e;162170;e
09275;Passau, Landkreis;193454;e;194090;e;193080;e;194068;e;194699;e
09276;Regen, Landkreis;77313;e;77176;e;77503;e;77439;e;77267;e
09277;Rottal-Inn, Landkreis;121800;e;122252;e;119864;e;120475;e;120497;e
09278;Straubing-Bogen, Landkreis;101745;e;102398;e;102914;e;103329;e;103041;e
09279;Dingolfing-Landau, Landkreis;97244;e;98045;e;99509;e;100727;e;101035;e
09361;Amberg, kreisfreie Stadt;42052;e;41994;e;42080;e;42217;e;42553;e
09362;Regensburg, kreisfreie Stadt;152270;e;153542;e;147509;e;149664;e;151389;e
09363;Weiden in der Oberpfalz, kreisfreie Stadt;42535;e;42472;e;42251;e;42430;e;42444;e
09371;Amberg-Sulzbach, Landkreis;102998;e;103277;e;103621;e;104127;e;103982;e
09372;Cham, Landkreis;128094;e;128444;e;127452;e;128230;e;128534;e
09373;Neumarkt in der Oberpfalz, Landkreis;135225;e;136062;e;136901;e;138214;e;138693;e
09374;Neustadt an der Waldnaab, Landkreis;94645;e;94838;e;95742;e;96209;e;96049;e
09375;Regensburg, Landkreis;194275;e;195225;e;191651;e;193801;e;196213;e
09376;Schwandorf, Landkreis;148477;e;149239;e;147982;e;148698;e;149312;e
09377;Tirschenreuth, Landkreis;71696;e;71648;e;72561;e;72545;e;72210;e
09461;Bamberg, kreisfreie Stadt;76674;e;77749;e;74405;e;75087;e;77150;e
09462;Bayreuth, kreisfreie Stadt;74048;e;73909;e;72661;e;73074;e;72940;e
09463;Coburg, kreisfreie Stadt;40842;e;40955;e;40618;e;40907;e;41064;e
09464;Hof, kreisfreie Stadt;45173;e;45125;e;46151;e;46484;e;46778;e
09471;Bamberg, Landkreis;147497;e;147697;e;147269;e;148017;e;147777;e
09472;Bayreuth, Landkreis;103679;e;103648;e;103106;e;103269;e;103215;e
09473;Coburg, Landkreis;86571;e;86544;e;84341;e;84518;e;84468;e
09474;Forchheim, Landkreis;116600;e;116753;e;115457;e;116284;e;116184;e
09475;Hof, Landkreis;94522;e;93907;e;92905;e;92675;e;92191;e
09476;Kronach, Landkreis;66355;e;66091;e;65087;e;65009;e;64545;e
09477;Kulmbach, Landkreis;71428;e;71328;e;71439;e;71752;e;71518;e
09478;Lichtenfels, Landkreis;66722;e;66741;e;67466;e;67716;e;67379;e
09479;Wunsiedel im Fichtelgebirge, Landkreis;71974;e;71482;e;70963;e;70959;e;70549;e
09561;Ansbach, kreisfreie Stadt;41681;e;41662;e;39596;e;39700;e;40742;e
09562;Erlangen, kreisfreie Stadt;112385;e;113292;e;113911;e;115314;e;115928;e
09563;Fürth, kreisfreie Stadt;128223;e;129122;e;131060;e;131712;e;132036;e
09564;Nürnberg, kreisfreie Stadt;515543;e;510632;e;523734;e;526606;e;529508;e
09565;Schwabach, kreisfreie Stadt;41056;e;41146;e;40812;e;40994;e;40835;e
09571;Ansbach, Landkreis;185316;e;186279;e;186359;e;187340;e;187633;e
09572;Erlangen-Höchstadt, Landkreis;138105;e;139323;e;137981;e;138581;e;138325;e
09573;Fürth, Landkreis;118695;e;119432;e;117602;e;117617;e;117719;e
09574;Nürnberger Land, Landkreis;171143;e;171424;e;168856;e;169193;e;168813;e
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;101272;e;101788;e;100568;e;100982;e;101043;e
09576;Roth, Landkreis;127168;e;127520;e;127472;e;128438;e;128632;e
09577;Weißenburg-Gunzenhausen, Landkreis;95117;e;95523;e;94468;e;94670;e;94695;e
09661;Aschaffenburg, kreisfreie Stadt;70858;e;71381;e;72054;e;72554;e;73091;e
09662;Schweinfurt, kreisfreie Stadt;53319;e;53585;e;53539;e;53938;e;54481;e
09663;Würzburg, kreisfreie Stadt;126954;e;126933;e;131271;e;131759;e;133258;e
09671;Aschaffenburg, Landkreis;174658;e;174965;e;170651;e;170856;e;170945;e
09672;Bad Kissingen, Landkreis;103169;e;103454;e;103088;e;103447;e;103489;e
09673;Rhön-Grabfeld, Landkreis;79510;e;79376;e;79216;e;79430;e;79375;e
09674;Haßberge, Landkreis;84275;e;84284;e;83258;e;83673;e;83869;e
